IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.205.188,8080,8080,false,SIN,Asia Pacific,Singapore,249,10.79
47.236.75.113,2082,2082,false,SIN,Asia Pacific,Singapore,251,10.79
47.237.14.220,8880,8880,false,SIN,Asia Pacific,Singapore,255,10.68
47.243.86.79,2087,2087,true,HKG,Asia Pacific,Hong Kong,14,10.68
47.236.174.206,2082,2082,false,SIN,Asia Pacific,Singapore,252,10.59
8.222.193.65,80,80,false,SIN,Asia Pacific,Singapore,256,10.55
47.242.252.237,2095,2095,false,HKG,Asia Pacific,Hong Kong,11,10.48
47.236.80.110,2082,2082,false,SIN,Asia Pacific,Singapore,245,10.48
47.236.165.25,2086,2086,false,SIN,Asia Pacific,Singapore,246,10.46
47.76.189.102,2087,2087,true,HKG,Asia Pacific,Hong Kong,15,10.33
8.210.34.188,8880,8880,false,HKG,Asia Pacific,Hong Kong,11,10.27
47.236.170.225,80,80,false,SIN,Asia Pacific,Singapore,254,10.10
47.236.80.110,2087,2087,true,SIN,Asia Pacific,Singapore,250,10.08
47.236.125.62,2095,2095,false,NRT,Asia Pacific,Tokyo,346,9.98
47.236.9.152,2082,2082,false,SIN,Asia Pacific,Singapore,256,9.89
47.236.87.246,8080,8080,false,SIN,Asia Pacific,Singapore,249,9.77
47.237.121.38,2083,2083,true,SIN,Asia Pacific,Singapore,251,9.61
47.237.81.112,8080,8080,false,SIN,Asia Pacific,Singapore,252,9.60
8.222.183.242,2095,2095,false,SIN,Asia Pacific,Singapore,249,9.57
47.236.202.91,2052,2052,false,SIN,Asia Pacific,Singapore,249,9.54
47.242.252.237,80,80,false,HKG,Asia Pacific,Hong Kong,11,9.52
47.237.92.26,2086,2086,false,SIN,Asia Pacific,Singapore,254,9.51
47.236.168.17,2086,2086,false,SIN,Asia Pacific,Singapore,252,9.47
8.219.78.188,2053,2053,true,SIN,Asia Pacific,Singapore,252,9.46
47.245.84.124,8443,8443,true,SIN,Asia Pacific,Singapore,259,9.45
47.237.94.140,2083,2083,true,SIN,Asia Pacific,Singapore,243,9.38
47.236.174.206,80,80,false,SIN,Asia Pacific,Singapore,252,9.35
47.237.95.140,8080,8080,false,SIN,Asia Pacific,Singapore,241,9.30
47.237.83.20,2083,2083,true,SIN,Asia Pacific,Singapore,252,9.28
47.242.183.7,8443,8443,true,HKG,Asia Pacific,Hong Kong,10,9.28
47.236.180.24,2082,2082,false,SIN,Asia Pacific,Singapore,254,9.28
